# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: glidestruct
# Creation date: 11/11/2019 12:33:48
# 
# 11/11/2019 12:33:48
# The parameters defined in the project are:
# ,P1 - Y1 [m],P2 - Y2 [m],P3 - Y3 [m],P4 - Y4 [m],P5 - R1 [m],P6 - R2 [m],P7 - R3 [m],P8 - R4 [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8
DP 0,0.2,0.15,0.1,0.05,0.001,0.001,0.001,0.001
# 
# A non parametric change occurred and invalidated design point results.
# 11/11/2019 12:39:02
# 
# 
# 11/11/2019 12:42:43
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - Y1 [m],P2 - Y2 [m],P3 - Y3 [m],P4 - Y4 [m],P5 - R1 [m],P6 - R2 [m],P7 - R3 [m],P8 - R4 [m],P9 - Geometry Mass [kg],P10 - Total Deformation Maximum [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
DP 1,0.18,0.15,0.1,0.05,0.001,0.001,0.001,0.001,0.029250951515727562,0.075507126748561859
DP 1,0.18024691358024691,0.16876543209876557,0.10691358024691361,0.0337037037037037,0.0010462962962962963,0.0013425925925925931,0.0013981481481481488,0.0012685185185185186,0.035772113155587482,0.039545189589262009
DP 2,0.18074074074074073,0.15000000000000002,0.11135802469135808,0.05098765432098766,0.00063888888888888893,0.00086111111111111121,0.0016203703703703718,0.0010833333333333333,0.032802089925192617,0.045916412025690079
DP 3,0.1812345679012346,0.15740740740740744,0.088641975308641985,0.059382716049382764,0.0012314814814814814,0.00052777777777777784,0.0011388888888888889,0.00089814814814814813,0.028720956033475756,0.0746716856956482
DP 4,0.18172839506172839,0.15246913580246915,0.081234567901234567,0.045555555555555557,0.0013240740740740743,0.001212962962962963,0.001712962962962965,0.00076851851851851842,0.036336044355400179,0.033745236694812775
DP 5,0.18222222222222223,0.14160493827160495,0.098024691358024676,0.065802469135802538,0.0010092592592592592,0.0018796296296296326,0.00082407407407407408,0.00125,0.035623447324881111,0.045639865100383759
DP 6,0.18271604938271604,0.15493827160493831,0.11629629629629637,0.061358024691358079,0.0016018518518518534,0.00125,0.00058333333333333338,0.0011388888888888889,0.03105327643550854,0.068367801606655121
DP 7,0.18320987654320986,0.14654320987654321,0.11481481481481487,0.048024691358024695,0.00125,0.0019537037037037066,0.0012314814814814814,0.0017870370370370395,0.045611036499717567,0.018474824726581573
DP 8,0.1837037037037037,0.15543209876543213,0.088148148148148142,0.049506172839506174,0.00087962962962962962,0.0019166666666666696,0.0015648148148148162,0.0017685185185185206,0.047047711882790166,0.016842639073729515
DP 9,0.18419753086419752,0.14703703703703705,0.11086419753086425,0.038148148148148146,0.0016574074074074091,0.0012314814814814814,0.0019166666666666696,0.001583333333333335,0.046200244816417081,0.019550058990716934
DP 10,0.18469135802469136,0.16135802469135807,0.087654320987654327,0.043580246913580242,0.0013425925925925931,0.0015277777777777789,0.00050925925925925932,0.00097222222222222219,0.030076319167067538,0.079591564834117889
DP 11,0.18518518518518517,0.14209876543209876,0.085185185185185183,0.036172839506172838,0.0015092592592592603,0.00069444444444444447,0.0014722222222222233,0.0015648148148148162,0.040308383825448435,0.02347099781036377
DP 12,0.18567901234567905,0.13962962962962963,0.10592592592592595,0.035185185185185187,0.00076851851851851842,0.00065740740740740744,0.00093518518518518506,0.0011018518518518519,0.028313753315438478,0.076285265386104584
DP 13,0.18617283950617283,0.13913580246913582,0.082716049382716053,0.062345679012345744,0.0015462962962962976,0.0017685185185185206,0.001435185185185186,0.0013796296296296304,0.042687835614048458,0.028947219252586365
DP 14,0.18666666666666668,0.1682716049382717,0.10444444444444446,0.059876543209876593,0.0018611111111111142,0.0010833333333333333,0.0015462962962962976,0.0016203703703703718,0.041926405796337579,0.025474114343523979
DP 15,0.18716049382716049,0.16086419753086423,0.092098765432098773,0.0549382716049383,0.00062037037037037041,0.0013240740740740743,0.00097222222222222219,0.00056481481481481487,0.026724422956160034,0.094065055251121521
DP 16,0.18765432098765433,0.13666666666666666,0.099012345679012348,0.054444444444444469,0.0018796296296296326,0.00080555555555555556,0.00087962962962962962,0.00065740740740740744,0.028760794032584518,0.099463962018489838
DP 17,0.18814814814814815,0.14111111111111113,0.11234567901234574,0.031234567901234567,0.0013796296296296304,0.0013796296296296304,0.00075,0.00086111111111111121,0.030131461419314307,0.077789746224880219
DP 18,0.18864197530864196,0.15790123456790128,0.096049382716049375,0.066296296296296381,0.00080555555555555556,0.0010277777777777778,0.00095370370370370379,0.0019537037037037066,0.038292756138571721,0.021364390850067139
DP 19,0.18913580246913581,0.14308641975308642,0.097530864197530862,0.049012345679012345,0.0019351851851851882,0.0013055555555555559,0.00065740740740740744,0.0019351851851851882,0.043233260219047207,0.017169145867228508
DP 20,0.18962962962962962,0.13419753086419753,0.09160493827160493,0.05,0.00050925925925925932,0.0011574074074074073,0.00069444444444444447,0.0014722222222222233,0.03242046835439423,0.039874035865068436
DP 21,0.19012345679012349,0.16037037037037044,0.098518518518518519,0.035679012345679009,0.0018240740740740767,0.0019722222222222255,0.0013425925925925931,0.00099074074074074082,0.039337540573979,0.047730855643749237
DP 22,0.19061728395061728,0.13024691358024693,0.097037037037037033,0.04308641975308642,0.0017870370370370395,0.0016944444444444466,0.00086111111111111121,0.00093518518518518506,0.035324316538802275,0.055754978209733963
DP 23,0.19111111111111112,0.14506172839506173,0.10987654320987658,0.041604938271604941,0.001435185185185186,0.00056481481481481487,0.00099074074074074082,0.0019722222222222255,0.040750543351995912,0.016074612736701965
DP 24,0.19160493827160496,0.15888888888888894,0.095061728395061731,0.069259259259259354,0.0019166666666666696,0.0015462962962962976,0.00125,0.0007314814814814815,0.034206080374913982,0.0645766630768776
DP 25,0.19209876543209878,0.14061728395061729,0.093580246913580245,0.042592592592592592,0.0006018518518518519,0.0017870370370370395,0.0015092592592592603,0.0006018518518518519,0.034808754563418913,0.044914253056049347
DP 26,0.19259259259259259,0.1638271604938272,0.10395061728395064,0.0667901234567902,0.00084259259259259259,0.0016388888888888907,0.001898148148148151,0.0010277777777777778,0.038561772050072676,0.035564027726650238
DP 27,0.19308641975308641,0.13320987654320987,0.10296296296296298,0.058395061728395106,0.0011944444444444444,0.0014166666666666674,0.0018796296296296326,0.00058333333333333338,0.036753037017826007,0.039912566542625427
DP 28,0.19358024691358025,0.13814814814814816,0.085679012345679,0.068765432098765525,0.0011018518518518519,0.00075,0.0016574074074074091,0.0013611111111111115,0.037113906846594533,0.030903829261660576
DP 29,0.19407407407407407,0.15641975308641978,0.083209876543209882,0.0534567901234568,0.001898148148148151,0.0011388888888888889,0.001583333333333335,0.0018611111111111142,0.047041597030570328,0.016318965703248978
DP 30,0.19456790123456794,0.16975308641975317,0.0891358024691358,0.046543209876543215,0.00086111111111111121,0.00063888888888888893,0.00089814814814814813,0.0014537037037037047,0.031491663981093654,0.043693382292985916
DP 31,0.19506172839506172,0.15444444444444447,0.11037037037037041,0.041111111111111112,0.00056481481481481487,0.001898148148148151,0.00076851851851851842,0.0010648148148148149,0.032429610981412088,0.060814779251813889
DP 32,0.19555555555555557,0.13469135802469137,0.11580246913580253,0.051975308641975325,0.0011574074074074073,0.00062037037037037041,0.0017314814814814834,0.0016018518518518534,0.039268083837735029,0.024084752425551414
DP 33,0.19604938271604941,0.13370370370370371,0.11530864197530871,0.064320987654321066,0.00089814814814814813,0.0010648148148148149,0.00078703703703703715,0.0016944444444444466,0.0346155098647062,0.030597526580095291
DP 34,0.19654320987654322,0.16580246913580254,0.093086419753086416,0.031728395061728393,0.0017500000000000022,0.000712962962962963,0.0014907407407407419,0.0011574074074074073,0.035714226277689269,0.039326895028352737
DP 35,0.19703703703703704,0.16234567901234576,0.11777777777777784,0.05543209876543212,0.001712962962962965,0.00058333333333333338,0.0013240740740740743,0.00091666666666666676,0.030445148076125923,0.070399299263954163
DP 36,0.19753086419753085,0.14802469135802471,0.11925925925925936,0.038641975308641975,0.0012685185185185186,0.00099074074074074082,0.0019907407407407426,0.00075,0.035199931373855922,0.05015154555439949
DP 37,0.1980246913580247,0.13271604938271606,0.11283950617283955,0.064814814814814881,0.00099074074074074082,0.0016018518518518534,0.0018611111111111142,0.0015277777777777789,0.043835809955567219,0.025230269879102707
DP 38,0.19851851851851854,0.15098765432098765,0.08666666666666667,0.032222222222222222,0.00097222222222222219,0.0011944444444444444,0.00052777777777777784,0.0016574074074074091,0.035438781460637656,0.027101330459117889
DP 39,0.19901234567901233,0.14901234567901236,0.11728395061728403,0.040123456790123455,0.000712962962962963,0.0016574074074074091,0.0018240740740740767,0.0016759259259259279,0.04531754029813187,0.018718581646680832
DP 40,0.19950617283950617,0.1425925925925926,0.11975308641975313,0.050493827160493832,0.0019537037037037066,0.0016759259259259279,0.0015277777777777789,0.00095370370370370379,0.038323607702079744,0.052036315202713013
DP 41,0.2,0.14456790123456792,0.11827160493827168,0.060370370370370421,0.00069444444444444447,0.0011203703703703703,0.0010092592592592592,0.000712962962962963,0.026627591794748648,0.096316181123256683
DP 42,0.20049382716049385,0.13222222222222224,0.0871604938271605,0.042098765432098777,0.0011388888888888889,0.0015092592592592603,0.0018055555555555581,0.0018425925925925953,0.049950040750685716,0.012787941843271255
DP 43,0.20098765432098767,0.13123456790123458,0.092592592592592587,0.037160493827160496,0.0013055555555555559,0.000675925925925926,0.0016388888888888907,0.00084259259259259259,0.033032831422253078,0.042710747569799423
DP 44,0.20148148148148151,0.13765432098765432,0.10938271604938275,0.069753086419753141,0.0016203703703703718,0.0007314814814814815,0.0013611111111111115,0.00082407407407407408,0.030245623146045814,0.069266773760318756
DP 45,0.20197530864197533,0.1598765432098766,0.11432098765432105,0.065308641975308723,0.0015648148148148162,0.0016203703703703718,0.0011944444444444444,0.0019907407407407426,0.044239223987677809,0.018297668546438217
DP 46,0.20246913580246917,0.16777777777777786,0.10740740740740744,0.039629629629629626,0.00091666666666666676,0.00078703703703703715,0.0016018518518518534,0.0018796296296296326,0.042665998049332243,0.015382726676762104
DP 47,0.20296296296296298,0.15395061728395065,0.099506172839506163,0.033209876543209879,0.0014537037037037047,0.00054629629629629635,0.00054629629629629635,0.0010462962962962963,0.027086911495979256,0.091630905866622925
DP 48,0.20345679012345683,0.152962962962963,0.086172839506172841,0.056419753086419784,0.00054629629629629635,0.00089814814814814813,0.0019722222222222255,0.0015092592592592603,0.042081178126781589,0.019514128565788269
DP 49,0.20395061728395064,0.14358024691358026,0.0817283950617284,0.063333333333333408,0.0018055555555555581,0.0011018518518518519,0.000675925925925926,0.001175925925925926,0.031111845711202669,0.067128032445907593
DP 50,0.20444444444444448,0.16728395061728404,0.10246913580246914,0.062839506172839565,0.00078703703703703715,0.0017314814814814834,0.0007314814814814815,0.0010092592592592592,0.029759633969145514,0.077811889350414276
DP 51,0.2049382716049383,0.16925925925925936,0.10543209876543212,0.047530864197530873,0.0015277777777777789,0.0015648148148148162,0.0019351851851851882,0.00069444444444444447,0.037574764239798504,0.040768563747406006
DP 52,0.20543209876543217,0.16283950617283957,0.10641975308641978,0.0682716049382717,0.00058333333333333338,0.00076851851851851842,0.0013055555555555559,0.0012314814814814814,0.030572206870624993,0.053459368646144867
DP 53,0.20592592592592596,0.16629629629629639,0.082222222222222238,0.057407407407407456,0.0013611111111111115,0.0018240740740740767,0.0016944444444444466,0.0013981481481481488,0.043028215968728252,0.024775778874754906
DP 54,0.2064197530864198,0.16530864197530873,0.11679012345679017,0.034691358024691359,0.0016944444444444466,0.0013981481481481488,0.0010277777777777778,0.00087962962962962962,0.030789540128007192,0.080605313181877136
DP 55,0.20691358024691364,0.14555555555555555,0.080740740740740738,0.052469135802469147,0.00093518518518518506,0.00087962962962962962,0.0012685185185185186,0.00052777777777777784,0.027788688721054448,0.070512130856513977
DP 56,0.20740740740740746,0.1583950617283951,0.09555555555555556,0.03271604938271605,0.00065740740740740744,0.0017500000000000022,0.001175925925925926,0.0017500000000000022,0.042231063419889331,0.018907509744167328
DP 57,0.2079012345679013,0.14950617283950618,0.091111111111111115,0.067283950617284038,0.0010277777777777778,0.001712962962962965,0.00080555555555555556,0.0019166666666666696,0.040963149939700086,0.020760415121912956
DP 58,0.20839506172839509,0.16481481481481489,0.11876543209876551,0.044074074074074078,0.0010833333333333333,0.001175925925925926,0.00063888888888888893,0.0016388888888888907,0.034248064126700346,0.030003661289811134
DP 59,0.20888888888888896,0.13518518518518519,0.1083950617283951,0.045061728395061729,0.0011203703703703703,0.0018055555555555581,0.00062037037037037041,0.0017314814814814834,0.040590982543505669,0.020591985434293747
